Hash,Message,Parent Hashes,Is Merge Commit,Modified Files
e9067bce5afdb528ed8dcc8fd2a07cfdeff06754,don't use the ft stoploss.,['d9b82a0d9a694fed7d6f5f16d0f94b7573cbbedf'],N,['NostalgiaForInfinityX.py']
a68103a762d2579d8feaab7667f7113c3cfffef3,fix docs for hold trades.,['d3d47d6e991752cb22f014ef80364509326fc1c9'],N,['NostalgiaForInfinityX.py']
c76b86afb2921dd62f56eaeda55d3f73a1836901,sell_stoploss: rework.,['8a31393cea27bf19342411fda6483a52cf309d51'],N,['NostalgiaForInfinityX.py']
a503d86b1b827609ad3a03163fac6bd0aa68035c,sell_stoploss: rework.,['c76b86afb2921dd62f56eaeda55d3f73a1836901'],N,['NostalgiaForInfinityX.py']
8d0088eaf10c7bbe0e7b485c4b0b264413dc7f69,sell_stoploss: rework.,['a503d86b1b827609ad3a03163fac6bd0aa68035c'],N,['NostalgiaForInfinityX.py']
77fe5af128adf90e713ae5acbc57094c9e6b9201,sell_stoploss: rework.,['5523a256d91e590f9878455a81a30c0f98234e16'],N,['NostalgiaForInfinityX.py']
c4b5ef258434945621dbbb7993081af49152e037,sell_stoploss: rework.,['77fe5af128adf90e713ae5acbc57094c9e6b9201'],N,['NostalgiaForInfinityX.py']
0fa7cdd921697d18a8dbeb20def7365fbc6f3d13,sell_stoploss: rework.,['498096833014fc5e226b510006a69f541d2d4197'],N,['NostalgiaForInfinityX.py']
963ca1c8a98d77fc539bcaeb29862f35cdf0fbe9,fine tune stoploss thresholds.,['0fa7cdd921697d18a8dbeb20def7365fbc6f3d13'],N,['NostalgiaForInfinityX.py']
2936edc8b2f69163faa9c0c34df7221a72a4e46f,don't use the ft stoploss.,['54b7b1a2f4f06c4e7b03526ac5f32e6b536d8158'],N,['NostalgiaForInfinityX.py']
2a16a1f65aa7d9102c0ed936d9674b38374cf7d3,fix docs for hold trades.,['2299b58527f7db054078ffe140cf9ac53d601446'],N,['NostalgiaForInfinityX.py']
c5e25480c96bac1417ea4a133cde0d62036ce51a,changing the language in the message,['309696326d1f084b737f6b27443850e92eb92269'],N,['tools\\update_nfx.sh']
43da27f672bb33efc33c3767ce85f9a118287792,sell_stoploss: rework.,['0128e14f4d696a452e63dcc67f9913cdcde9ae41'],N,['NostalgiaForInfinityX.py']
48d587717479b241d664d93ca26c2513fdf5c9da,sell_stoploss: rework.,['43da27f672bb33efc33c3767ce85f9a118287792'],N,['NostalgiaForInfinityX.py']
9a471740b411fc2727f46a38b950e8b2ba97576f,sell_stoploss: rework.,['e33c4dac2e929e06edbef29d77ca9c12076df05f'],N,['NostalgiaForInfinityX.py']
8e17d0ebd0746d891a64ae3dc225638f440125d4,sell_stoploss: rework.,['9a471740b411fc2727f46a38b950e8b2ba97576f'],N,['NostalgiaForInfinityX.py']
3d543132740e020d22a0c42cca12ea277dff4882,sell_stoploss: rework.,['060d62438978b3a228ebc49e7998fa00072e541b'],N,['NostalgiaForInfinityX.py']
ceb2d1b72551435dfa9bcf8a5fd04889cecdcf88,created sample freqtrade updater script for nfix for when docker compose is leveraged,['3d543132740e020d22a0c42cca12ea277dff4882'],N,['tools\\update_nfx_docker_compose.sh']
8cc256c4ccf92891690c1216ce235944fb2c80ca,sell_stoploss: rework.,['b3adb62e882309386b9f2abc160d68fc2a7e22a4'],N,['NostalgiaForInfinityX.py']
04d24b1bed9aa81ebef51a0e724b14799b5f14fe,sell_stoploss: rework.,['64e6ce15a880401ae4ad460b223fc5555143f632'],N,['NostalgiaForInfinityX.py']
